center,region,band_id,wn_start,wn_end,wn_peak,score_mean_f,score_max_f,score_sum_f,n_features_in_band,n_samples,strategy,weighted_score,center_weight
1500,overall,24,1890.81543,1929.90918,1902.574219,1.342094726705724,5.5209045803978505,55.02588379493468,41,118,fallback_top1_top1_a017,0.2281561035399731,0.17
1500,overall,6,1171.270508,1209.310547,1207.080078,1.2452832725396668,5.855233855082489,43.584914538888334,35,118,fallback_top1_top1_a017,0.21169815633174335,0.17
2900,overall,11,2900.8125,2940.519531,2913.818359,10.849569954932266,14.605324846748845,542.4784977466132,50,118,h1_router_fb_cortex_striatum,9.26259048525319,0.853728813559322
2900,overall,6,2700.847656,2739.902344,2723.813477,10.464040929258061,24.255439825973095,491.80992367512886,47,118,h1_router_fb_cortex_striatum,8.93345324757167,0.853728813559322
2900,overall,16,3101.227539,3140.674805,3120.610352,8.955061980412065,14.042835574888725,465.66322298142734,52,118,h1_router_fb_cortex_striatum,7.645194439887384,0.853728813559322
2900,overall,7,2740.74707,2780.279297,2763.501953,8.520315441959669,13.966569185784083,408.97514121406414,48,118,h1_router_fb_cortex_striatum,7.274038793415398,0.853728813559322
2900,overall,8,2781.117188,2820.28125,2781.117188,7.321653679847721,12.560528053504518,351.4393766326906,48,118,h1_router_fb_cortex_striatum,6.250706709388639,0.853728813559322
2900,overall,1,2501.051758,2540.145508,2536.605469,6.757152865095281,9.85424885967437,304.07187892928766,45,118,h1_router_fb_cortex_striatum,5.768776098556767,0.853728813559322
2900,overall,10,2860.736328,2899.999023,2881.230469,6.7068592431662974,15.03790097445154,328.63610291514857,49,118,h1_router_fb_cortex_striatum,5.725838984377735,0.853728813559322
2900,overall,5,2661.4375,2699.995117,2675.186523,6.336395033479817,11.116874662293595,291.47417154007155,46,118,h1_router_fb_cortex_striatum,5.409563014175904,0.853728813559322
2900,overall,2,2541.030273,2580.655273,2564.847656,6.2987835591898085,12.309254385791913,289.7440437227312,46,118,h1_router_fb_cortex_striatum,5.377453014854078,0.853728813559322
2900,overall,20,3261.345703,3284.467773,3265.083984,6.085594232948083,10.57853212843132,194.73901545433867,32,118,h1_router_fb_cortex_striatum,5.195447144298219,0.853728813559322
2900,overall,17,3141.444336,3180.522461,3146.060547,6.0707181690271845,14.298688284747161,315.6773447894136,52,118,h1_router_fb_cortex_striatum,5.182747019896597,0.853728813559322
2900,overall,15,3061.413086,3100.450195,3093.450195,5.73189487081012,17.069333896648786,292.3266384113161,51,118,h1_router_fb_cortex_striatum,4.893483807503486,0.853728813559322
2900,overall,14,3021.227539,3060.628906,3021.227539,5.140712886013852,6.5845869243996775,262.17635718670647,51,118,h1_router_fb_cortex_striatum,4.3887747130257235,0.853728813559322
2900,overall,12,2941.326172,2980.663086,2960.638672,5.117444836804188,8.922956997003064,255.87224184020937,50,118,h1_router_fb_cortex_striatum,4.368910108980117,0.853728813559322
2900,overall,9,2821.111328,2859.914063,2846.744141,4.969221216461349,13.086049526406805,238.52261839014477,48,118,h1_router_fb_cortex_striatum,4.242367333443358,0.853728813559322
2900,overall,13,2981.461914,3020.435547,3016.474609,4.941703689407877,9.67729892136214,247.08518447039384,50,118,h1_router_fb_cortex_striatum,4.218874827719911,0.853728813559322
