center,region,wn,score_f,n_samples
1500,overall,1257.037109,4.069491015410412,118
1500,overall,1258.142578,4.314733273065262,118
1500,overall,1259.24707,4.40566154534724,118
1500,overall,1260.351563,4.747858415267341,118
1500,overall,1261.456055,4.626850343342091,118
1500,overall,1262.55957,4.393329699680717,118
1500,overall,1263.663086,4.548877858160542,118
1500,overall,1264.766602,5.265706150554933,118
1500,overall,1265.870117,5.45780242033869,118
1500,overall,1266.973633,5.468898647817165,118
1500,overall,1268.076172,5.170906544336533,118
1500,overall,1269.178711,4.9484228197009905,118
1500,overall,1270.28125,4.498358030841,118
1500,overall,1271.382813,3.687927543374182,118
1500,overall,1272.485352,3.2766035450274793,118
1500,overall,1273.586914,3.5620306219988422,118
1500,overall,1274.688477,3.7084803554532013,118
1500,overall,1275.790039,4.359205540886171,118
1500,overall,1276.890625,4.987253468837315,118
1500,overall,1277.991211,5.324082032776493,118
1500,overall,1279.091797,5.660301667181438,118
1500,overall,1280.192383,5.701297492131859,118
1500,overall,1281.291992,5.399457951949881,118
1500,overall,1282.392578,4.436196507711764,118
1500,overall,1283.492188,6.859625262729963,118
1500,overall,1284.591797,6.643135770040025,118
1500,overall,1285.69043,5.724815963583947,118
1500,overall,1286.790039,5.024479555073709,118
1500,overall,1287.888672,8.825903925153355,118
1500,overall,1288.987305,17.752642570414768,118
1500,overall,1290.084961,20.73668980262372,118
1500,overall,1291.183594,21.549284010324183,118
1500,overall,1292.28125,20.520492676113903,118
1500,overall,1293.378906,19.114653460458744,118
1500,overall,1294.476563,17.830376186393746,118
1500,overall,1295.573242,15.157511222207043,118
1500,overall,1296.669922,10.958232851037062,118
1500,overall,1297.766602,6.215875644643229,118
1500,overall,1298.863281,3.401788370380059,118
1500,overall,1299.959961,3.867293809141638,118
1500,overall,1301.055664,6.94964120357465,118
1500,overall,1302.151367,8.830420503236766,118
1500,overall,1303.24707,9.02835010583889,118
1500,overall,1304.342773,8.039910756188004,118
1500,overall,1305.4375,7.260457041602084,118
1500,overall,1306.533203,6.476715350499531,118
1500,overall,1307.62793,5.71634113310537,118
1500,overall,1308.72168,4.5059592743975925,118
1500,overall,1309.816406,3.617087671153935,118
1500,overall,1310.910156,2.8221219977068066,118
1500,overall,1312.003906,2.6155000602653793,118
1500,overall,1313.097656,2.2210152344491227,118
1500,overall,1314.191406,2.7388743019984294,118
1500,overall,1315.28418,2.919208011567131,118
1500,overall,1316.376953,2.8685510553569693,118
1500,overall,1317.469727,2.7886383482994184,118
1500,overall,1318.5625,2.41727311539627,118
1500,overall,1319.654297,2.261113785003796,118
1500,overall,1320.746094,1.6443215054199989,118
1500,overall,1321.837891,1.0998332881925221,118
1500,overall,1322.929688,0.915937896881961,118
1500,overall,1324.021484,0.7886793600762606,118
1500,overall,1325.112305,1.270879815205864,118
1500,overall,1326.203125,1.5244642711189575,118
1500,overall,1327.293945,1.8755518746691169,118
1500,overall,1328.384766,1.5175245466045517,118
1500,overall,1329.474609,1.5237331870178528,118
1500,overall,1330.564453,1.5333675315850492,118
1500,overall,1331.654297,1.581586489256202,118
1500,overall,1332.744141,1.5715695990828313,118
1500,overall,1333.833008,1.4625154618749865,118
1500,overall,1334.921875,1.9273987695013086,118
1500,overall,1336.011719,2.6052953362425284,118
1500,overall,1337.099609,2.9047973232752295,118
1500,overall,1338.188477,1.941754993268222,118
1500,overall,1339.276367,0.6526301114637153,118
1500,overall,1340.364258,0.47292223445779286,118
1500,overall,1341.452148,0.588284936905332,118
1500,overall,1342.540039,0.6209954167044297,118
1500,overall,1343.626953,2.3033274646964697,118
1500,overall,1344.714844,3.1827623104548124,118
1500,overall,1345.801758,3.2329177482333664,118
1500,overall,1346.887695,3.278080468915496,118
1500,overall,1347.974609,1.6547273487347407,118
1500,overall,1349.060547,1.4144069112699758,118
1500,overall,1350.146484,1.531802589900623,118
1500,overall,1351.232422,1.6413617773752232,118
1500,overall,1352.318359,2.268669469988209,118
1500,overall,1353.40332,6.1808639306087425,118
1500,overall,1354.488281,5.3501965462058845,118
1500,overall,1355.573242,3.211648815233089,118
1500,overall,1356.658203,2.47375101341712,118
1500,overall,1357.742188,2.1166441162298137,118
1500,overall,1358.827148,2.909972357791945,118
1500,overall,1359.911133,2.7787758831459923,118
1500,overall,1360.995117,2.3289130540899077,118
1500,overall,1362.078125,1.8145356384159916,118
1500,overall,1363.161133,1.1497794335529001,118
1500,overall,1364.245117,0.8907241386219704,118
1500,overall,1365.328125,0.8141706032283346,118
1500,overall,1366.410156,1.3093182558629834,118
1500,overall,1367.493164,0.4934535295956399,118
1500,overall,1368.575195,0.789773559791461,118
1500,overall,1369.657227,0.34831639841962475,118
1500,overall,1370.739258,0.7149050660671256,118
1500,overall,1371.820313,0.21859855048893853,118
1500,overall,1372.902344,0.8708918067770098,118
1500,overall,1373.983398,2.339697231099057,118
1500,overall,1375.064453,3.2474037014700143,118
1500,overall,1376.144531,3.3965966833511056,118
1500,overall,1377.225586,3.6323836082079812,118
1500,overall,1378.305664,3.2902320052219447,118
1500,overall,1379.385742,4.892004608730417,118
1500,overall,1380.46582,6.007460907530568,118
1500,overall,1381.544922,6.418262643149008,118
1500,overall,1382.625,6.923118708939793,118
1500,overall,1383.704102,6.278573821810329,118
