center,region,wn,score_f,n_samples
1500,cerebellum,1506.375977,4.6650251165405345,28
1500,cerebellum,1507.430664,4.57502705633723,28
1500,cerebellum,1508.485352,4.555831060399694,28
1500,cerebellum,1509.539063,4.8410015673666855,28
1500,cerebellum,1510.592773,4.650404659846075,28
1500,cerebellum,1511.646484,3.844061209074599,28
1500,cerebellum,1512.700195,3.486089631625081,28
1500,cerebellum,1513.75293,1.176422537673442,28
1500,cerebellum,1514.805664,1.2195958445684445,28
1500,cerebellum,1515.858398,2.4306543413789625,28
1500,cerebellum,1516.911133,0.6744441000329117,28
1500,cerebellum,1517.963867,0.9616894263448635,28
1500,cerebellum,1519.015625,1.3507333088078368,28
1500,cerebellum,1520.068359,2.1107298174743576,28
1500,cerebellum,1521.120117,2.702311205326306,28
1500,cerebellum,1522.170898,4.084604649221024,28
1500,cerebellum,1523.222656,2.7836283682892344,28
1500,cerebellum,1524.273438,1.6752267402350085,28
1500,cerebellum,1525.324219,0.9410039582287252,28
1500,cerebellum,1526.375,1.8684679986592136,28
1500,cerebellum,1527.425781,3.222060557589635,28
1500,cerebellum,1528.475586,2.846595481138083,28
1500,cerebellum,1529.526367,4.451450987274847,28
1500,cerebellum,1530.576172,6.486497930658164,28
1500,cerebellum,1531.625977,5.614639226800502,28
1500,cerebellum,1532.674805,5.238381017639937,28
1500,cerebellum,1533.724609,4.939674143561598,28
1500,cerebellum,1534.773438,4.81248515961437,28
1500,cerebellum,1535.822266,4.995927822621585,28
1500,cerebellum,1536.871094,3.428020914815953,28
1500,cerebellum,1537.918945,0.7666296473086869,28
1500,cerebellum,1538.967773,1.9389127178895622,28
